Name,Alias,Nationality,Designation,Sanction Type,Source
PALESTINE LIBERATION FRONT - ABU ABBAS FACTION,PALESTINE LIBERATION FRONT,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
POPULAR FRONT FOR THE LIBERATION OF PALESTINE,PFLP,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
POPULAR FRONT FOR THE LIBERATION OF PALESTINE - GENERAL COMMAND,PFLP-GC,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
REVOLUTIONARY PEOPLE'S LIBERATION PARTY/FRONT,DEVRIMCI HALK KURTULUS PARTISI-CEPHESI,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
REVOLUTIONARY PEOPLE'S STRUGGLE,EPANASTATIKOS LAIKOS AGONAS,Unknown,Entity,SDGT,USOFAC-SDN
SHINING PATH,SENDERO LUMINOSO,Unknown,Entity,"FTO, SDGT, SDNTK",USOFAC-SDN
DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE - HAWATMEH FACTION,DEMOCRATIC FRONT FOR THE LIBERATION OF PALESTINE,Unknown,Entity,SDGT,USOFAC-SDN
Usama bin Muhammad bin Awad BIN LADIN,BIN LADIN,Unknown,Individual,SDGT,USOFAC-SDN
AL QA'IDA,ISLAMIC SALVATION FOUNDATION,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
Abu Hafs AL-MASRI,ABDULLAH,Unknown,Individual,SDGT,USOFAC-SDN
Rifa'i Ahmad Taha MUSA,'ABD-AL-'IZ,Unknown,Individual,SDGT,USOFAC-SDN
COLOMBIANA DE CERDOS LTDA.,COLCERDOS LTDA.,Unknown,Entity,SDNT,USOFAC-SDN
DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,D'ELCON S.A.,Unknown,Entity,SDNT,USOFAC-SDN
MATADERO METROPOLITANO LTDA.,None,Unknown,Entity,SDNT,USOFAC-SDN
Mohammed OMAR,None,Unknown,Individual,SDGT,USOFAC-SDN
TALIBAN,ISLAMIC MOVEMENT OF TALIBAN,Unknown,Entity,SDGT,USOFAC-SDN
COMERCIALIZADORA DE CARNES LTDA.,COMECARNES LTDA.,Unknown,Entity,SDNT,USOFAC-SDN
SERVIAUTOS UNO A 1A LIMITADA,DIAGNOSTICENTRO LA GARANTIA,Unknown,Entity,SDNT,USOFAC-SDN
Jose de Jesus AMEZCUA CONTRERAS,AMESCUA,Unknown,Individual,SDNTK,USOFAC-SDN
Luis Ignacio AMEZCUA CONTRERAS,AMEZCUA,Unknown,Individual,SDNTK,USOFAC-SDN
Ramon Eduardo ARELLANO FELIX,COMACHO RODRIGUES,Unknown,Individual,SDNTK,USOFAC-SDN
Rafael CARO QUINTERO,CARO QUINTERO,Unknown,Individual,SDNTK,USOFAC-SDN
Vicente CARRILLO FUENTES,CARRILLO FUENTES,Unknown,Individual,SDNTK,USOFAC-SDN
Chi Fu CHANG,KHUN SA,Unknown,Individual,SDNTK,USOFAC-SDN
Noel Timothy HEATH,ZAMBA,Unknown,Individual,SDNTK,USOFAC-SDN
Oluwole A. OGUNGBUYI,ADEMULERO,Unknown,Individual,SDNTK,USOFAC-SDN
Abeni O. OGUNGBUYI,BABESTAN,Unknown,Individual,SDNTK,USOFAC-SDN
Hsueh Kang WEI,CHARNCHAI,Unknown,Individual,SDNTK,USOFAC-SDN
Benjamin Alberto ARELLANO FELIX,None,Unknown,Individual,SDNTK,USOFAC-SDN
Arcangel de Jesus HENAO MONTOYA,None,Unknown,Individual,SDNT,USOFAC-SDN
AGRICOLA GANADERA HENAO GONZALEZ Y CIA. S.C.S.,None,Unknown,Entity,SDNT,USOFAC-SDN
COMPANIA AGROINVERSORA HENAGRO LTDA.,None,Unknown,Entity,SDNT,USOFAC-SDN
DESARROLLOS COMERCIALES E INDUSTRIALES HENAO GONZALEZ Y CIA. S.C.S.,None,Unknown,Entity,SDNT,USOFAC-SDN
MAQUINARIA TECNICA Y TIERRAS LTDA.,M.T.T. LTDA.,Unknown,Entity,SDNT,USOFAC-SDN
ORGANIZACION EMPRESARIAL A DE J HENAO M E HIJOS Y CIA. S.C.S.,None,Unknown,Entity,SDNT,USOFAC-SDN
Olga Patricia GONZALEZ BENITEZ,None,Unknown,Individual,SDNT,USOFAC-SDN
ISLAMIC MOVEMENT OF UZBEKISTAN,IMU,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
CAVIEDES DILEO Y CIA. S.C.S.,None,Unknown,Entity,SDNT,USOFAC-SDN
Victor Julio PATINO FOMEQUE,PATINO FOMEQUE,Unknown,Individual,SDNT,USOFAC-SDN
INDUSTRIA DE PESCA SOBRE EL PACIFICO S.A,INPESCA S.A.,Unknown,Entity,SDNT,USOFAC-SDN
GALAPAGOS S.A,None,Unknown,Entity,SDNT,USOFAC-SDN
Jorge Alirio DUQUE BOTERO,None,Unknown,Individual,SDNT,USOFAC-SDN
Hernando ECHEVERRY HERRERA,ECHEVERRI HERRERA,Unknown,Individual,SDNT,USOFAC-SDN
NEW IRISH REPUBLICAN ARMY,REAL IRISH REPUBLICAN ARMY,Unknown,Entity,"FTO, SDGT",USOFAC-SDN
Sher AFGHAN,AFGHAN,Unknown,Individual,SDNTK,USOFAC-SDN
Osiel CARDENAS GUILLEN,CARDENAS GULLEN,Unknown,Individual,SDNTK,USOFAC-SDN
Miguel Angel CARO QUINTERO,None,Unknown,Individual,SDNTK,USOFAC-SDN
Ping Yun CHANG,KHUN,Unknown,Individual,SDNTK,USOFAC-SDN
Joseph GILBOA,GILBOA,Unknown,Individual,SDNTK,USOFAC-SDN
Joaquin GUZMAN LOERA,AREGON,Unknown,Individual,SDNTK,USOFAC-SDN
Jamiel HAMIEH,HAMIAH,Unknown,Individual,SDNTK,USOFAC-SDN
Ismael HIGUERA GUERRERO,None,Unknown,Individual,SDNTK,USOFAC-SDN
